seller_id,number_of_orders,seller_zip_code_prefix
c826c40d7b19f62a09e2d7c5e7295ee2,373,7133
92eb0f42c21942b6552362b9b114707d,365,3504
b2ba3715d723d245138f291a6fe42594,363,3470
7299e27ed73d2ad986de7f7c77d919fa,361,38440
4c2b230173bb36f9b240f2b8ac11786e,346,3933
5dceca129747e92ff8ef7a997dc4f8ca,346,13450
7ddcbb64b5bc1ef36ca8c151f6ec77df,343,4403
7e93a43ef30c4f03f38b393420bc753a,340,6429
ef506c96320abeedfb894c34db06f478,340,3569
fa40cc5b934574b62717c68f3d678b6d,340,2310
87142160b41353c4e5fca2360caf6f92,339,90230
c70c1b0d8ca86052f45a432a38b73958,338,13186
7142540dd4c91e2237acb7e911c4eba2,331,16301
1da3aeb70d7989d1e6d9b0e887f97c23,328,4265
70a12e78e608ac31179aea7f8422044b,328,12327
855668e0971d4dfd7bef1b6a4133b41b,327,13257
634964b17796e64304cadf1ad3050fb7,326,21840
c3cfdc648177fdbbbb35635a37472c53,307,80610
fe2032dab1a61af8794248c8196565c9,306,13030
88460e8ebdecbfecb5f9601833981930,302,87030
37be5a7c751166fbc5f8ccba4119e043,281,4248
562fc2f2c2863ab7e79a9e4388a58a14,270,13070
0ea22c1cfbdc755f86b9b54b39c16043,269,35700
1554a68530182680ad5c8b042c3ab563,269,37580
25c5c91f63607446a97b143d2d535d31,269,35680
e9bc59e7b60fc3063eb2290deda4cced,269,87083
17e34d8224d27a541263c4c64b11a56b,268,14085
a3a38f4affed601eb87a97788c949667,263,89204
c3867b4666c7d76867627c2f7fb22e21,259,14580
e5a3438891c0bfdb9394643f95273d8e,255,13483
dc4a0fc896dc34b0d5bfec8438291c80,249,14940
0241d4d5d36f10f80c644447315af0bd,246,80330
37515688008a7a40ac93e3b2e4ab203f,240,17900
7aa4334be125fcdd2ba64b3180029f14,240,18500
d1c281d3ae149232351cd8c8cc885f0d,240,14940
001cca7ae9ae17fb1caed9dfb1094831,239,29156
f457c46070d02cadd8a68551231220dd,234,87047
41b39e28db005d9731d9d485a83b4c38,231,9220
f7ba60f8c3f99e7ee4042fdef03b70c4,230,9628
7040e82f899a04d1b434b795a43b4617,228,1026
8d956fec2e4337affcb520f56fd8cbfd,228,9780
9b013e03b2ab786505a1d3b5c0756754,225,11450
4b9750c8ad28220fe6702d4ecb7c898f,222,13484
e26901d5ab434ce92fd9b5c256820a4e,221,9350
0c8380b62e38e8a1e6adbeba7eb9688c,220,37410
1c129092bf23f28a5930387c980c0dfc,220,2972
4830e40640734fc1c52cd21127c341d4,219,3573
6edacfd9f9074789dad6d62ba7950b9c,219,7135
7178f9f4dd81dcef02f62acdf8151e01,216,89560
2eb70248d66e0e3ef83659f71b244378,212,13101
ceaec5548eefc6e23e6607c5435102e7,211,3821
0b90b6df587eb83608a64ea8b390cf07,210,87025
86ccac0b835037332a596a33b6949ee1,210,89041
cab85505710c7cb9b720bceb52b01cee,209,2252
f262cbc1c910c83959f849465454ddd3,207,3564
9c0e69c7bf2619675bbadf47b43f655a,206,12230
54a1852d1b8f10312c55e906355666ee,204,13456
813348c996469b40f2e028d5429d3495,202,13206
c003204e1ab016dfa150abc119207b24,202,7790
f45122a9ab94eb4f3f8953578bc0c560,200,13419
cbd996ad3c1b7dc71fd0e5f5df9087e2,196,15081
98dac6635aee4995d501a3972e047414,195,2030
213b25e6f54661939f11710a6fddb871,194,13321
0dd184061fb0eaa7ca37932c68ab91c5,193,7031
95e03ca3d4146e4011985981aeb959b9,193,21210
850f4f8af5ea87287ac68de36e29107f,192,4367
ccc4bbb5f32a6ab2b7066a4130f114e3,192,80310
5656537e588803a555b8eb41f07a944b,188,72015
7d76b645482be4a332374e8223836592,187,1511
b499c00f28f4b7069ff6550af8c1348a,187,13481
669ae81880e08f269a64487cfb287169,186,89160
7ad32824caee82087b3e2e5f33b1bf32,184,14940
cfb1a033743668a192316f3c6d1d2671,184,18110
d98eec89afa3380e14463da2aabaea72,183,90010
5a8e7d5003a1f221f9e1d6e411de7c23,181,13076
a416b6a846a11724393025641d4edd5e,181,3702
de23c3b98a88888289c6f5cc1209054a,181,5530
0be8ff43f22e456b4e0371b2245e4d01,180,4461
522620dcb18a6b31cd7bdf73665113a9,180,85801
8a32e327fe2c1b3511609d81aaf9f042,180,2443
1a3df491d1c4f1589fc2b934ada68bf2,178,89224
6d66611d7c44cc30ce351abc49a68421,176,4378
8f2ce03f928b567e3d56181ae20ae952,175,5141
edb1ef5e36e0c8cd84eb3c9b003e486d,175,25957
2c9e548be18521d1c43cde1c582c6de8,174,8752
7e1fb0a3ebfb01ffb3a7dae98bf3238d,174,14403
2e1c9f22be269ef4643f826c9e650a52,173,4850
537eb890efff034a88679788b647c564,173,20270
00ee68308b45bc5e2660cd833c3f81cc,172,3333
1c68394e931a64f90ea236c5ea590300,171,87114
004c9cd9d87a3c30c522c48c4fc07416,170,14940
b76dba6c951ab00dc4edf0a1aa88037e,169,3237
2a84855fd20af891be03bc5924d2b453,168,30111
2528513dd95219a6013d4d05176e391a,167,6060
259f7b5e6e482c230e5bfaa670b6bb8f,165,8550
b4ffb71f0cb1b1c3d63fad021ecf93e1,165,3880
ce27a3cc3c8cc1ea79d11e561e9bebb6,164,3006
36a968b544695394e4e9d7572688598f,162,11010
3c7c4a49ec3c6550809089c6a2ca9370,160,3804
76d5af76d0271110f9af36c92573f765,159,3194
6cd68b3ed6d59aaa9fece558ad360c0a,157,31255
5cf13accae3222c70a9cac40818ae839,156,38700
66922902710d126a0e7d26b0e3805106,156,31842
7008613ea464bad5cb9b83456e1e6a8f,156,89460
8b28d096634035667e8263d57ba3368c,155,12243
b33e7c55446eabf8fe1a42d037ac7d6d,155,14850
44073f8b7e41514de3b7815dd0237f4f,153,71070
48436dade18ac8b2bce089ec2a041202,151,27277
17a053fcb14bd219540cbde0df490be0,149,13843
e9d99831abad74458942f21e16f33f92,149,3542
18a349e75d307f4b4cc646a691ed4216,148,1319
229c3efbfb0ea2058de4ccdfbc3d784a,148,30190
0bae85eb84b9fb3bd773911e89288d54,146,88301
a673821011d0cec28146ea42f5ab767f,146,3809
db4350fd57ae30082dec7acbaacc17f9,146,3126
7722b1df1b0e383e000397b2c11e3e19,145,9715
a3e9a2c700480d9bb01fba070ba80a0e,144,14940
79ebd9a61bac3eaf882805ed4ecfa12a,143,85802
dd7ddc04e1b6c2c614352b383efe2d36,143,3471
0adac9fbd9a2b63cccaac4f8756c1ca8,142,13290
710e3548e02bc1d2831dfc4f1b5b14d4,142,86600
1e8b33f18b4f7598d87f5cbee2282cc2,140,2066
ef0ace09169ac090589d85746e3e036f,140,24451
c9c7905cffc4ef9ff9f113554423e671,139,6871
aac29b1b99776be73c3049939652091d,138,38408
ca3bd7cd9f149df75950150d010fe4a2,138,4361
0db783cfcd3b73998abc6e10e59a102f,137,11010
1ca7077d890b907f89be8c954a02686a,137,6506
2e90cb1677d35cfe24eef47d441b7c87,137,2285
640e21a7d01df7614a3b4923e990d40c,137,14940
00fc707aaaad2d31347cf883cd2dfe10,135,87025
12b9676b00f60f3b700e83af21824c0e,135,95780
6a8b085f816a1f75f92dbac6eb545f8f,135,14709
59b22a78efb79a4797979612b885db36,133,38414
1127b7f2594683f2510f1c2c834a486b,132,13087
42b729f859728f5079499127a9c2ef37,132,3910
cd68562d3f44870c08922d380acae552,132,14050
01fdefa7697d26ad920e9e0346d4bd1b,131,86050
aafe36600ce604f205b86b5084d3d767,131,88115
b2479f944e1b90cf8a5de1bbfde284d6,131,14940
080102cd0a76b09e0dcf55fcacc60e05,130,31140
609e1a9a6c2539919b8205cf7c4e6ff0,130,88359
8e6d7754bc7e0f22c96d255ebda59eba,130,12233
17ca9b9e9b9ef8fdb529001b49ebb50f,129,32677
febab0275244b9a49a623f0bd613ca2f,129,13920
59fb871bf6f4522a87ba567b42dafecf,128,3655
6c7d50c24b3ccd2fd83b44d8bb34e073,128,19025
c33847515fa6305ce6feb1e818569f13,128,88359
f80edd2c5aaa505cc4b0a3b219abf4b8,128,3431
289cdb325fb7e7f891c38608bf9e0962,126,31570
33a6f4b1e7cdc205511e76ba1b6e0186,126,7084
431af27f296bc6519d890aa5a05fdb11,125,14110
e5a38146df062edaf55c38afa99e42dc,125,1233
c31eff8334d6b3047ed34bebd4d62c36,123,13322
f5a590cf36251cf1162ea35bef76fe84,122,9720
3b15288545f8928d3e65a8f949a28291,121,14940
b1fc4f64df5a0e8b6913ab38803c57a9,121,24440
fc906263ca5083d09dce42fe02247800,119,31030
8c16d1f32a54d92897cc437244442e1b,118,89023
bfd27a966d91cfaafdb25d076585f0da,118,13930
dbb9b48c841a0e39e21f98e1a6b2ec3e,118,3929
1b4c3a6f53068f0b6944d2d005c9fc89,117,88730
25e6ffe976bd75618accfe16cefcbd0d,117,5503
f4aba7c0bca51484c30ab7bdc34bcdd1,117,1031
6973a06f484aacf400ece213dbf3d946,115,12230
729f06993dac8e860d4f02d7088ca48a,115,13481
70eea00b476a314817cefde4aad4f89a,114,13250
8e6cc767478edae941d9bd9eb778d77a,114,38442
dd2bdf855a9172734fbc3744021ae9b9,113,31255
4371b634e0efc0e22b09b52907d9d469,112,2028
701938c450705b8ae65fc923b70f35c7,112,15014
aaed1309374718fdd995ee4c58c9dfcd,112,89120
5343d0649eca2a983820bfe93fc4d17e,111,9270
b14db04aa7881970e83ffa9426897925,111,18048
282f23a9769b2690c5dda22e316f9941,110,31573
612170e34b97004b3ba37eae81836b4c,110,93542
d94a40fd42351c259927028d163af842,110,37443
8444e55c1f13cd5c179851e5ca5ebd00,109,37584
822166ed1e47908f7cfb49946d03c726,108,25803
d6b1ce66b035a475f00c017792ff9769,108,13327
8a432f4e5b471f8da497d7dc517666e2,106,19042
a49928bcdf77c55c6d6e05e09a9b4ca5,106,3017
d20b021d3efdf267a402c402a48ea64b,106,14940
530ec6109d11eaaf87999465c6afee01,104,85807
7ea5bfa6c340f58f8e71fc1f0412b0d6,104,30180
827f8f69dfa529c561901c4f2e0f332f,104,81880
ac3508719a1d8f5b7614b798f70af136,104,92030
ececbfcff9804a2d6b40f589df8eef2b,104,14407
8648b1e89e9b349e32d3741b30ec737e,103,12308
11bfa66332777660bd0640ee84d47006,102,14085
f84fa566034f5e8e880a07ec624c56af,102,13330
3df020b72d3d44b3af9d110fa3940b65,101,15704
688756f717c462a206ad854c5027a64a,101,7094
5c243662ce92d84573bfaff24c3e3700,100,3702
80e6699fe29150b372a0c8a1ebf7dcc8,100,83323
9d4db00d65d7760644ac0c14edb5fd86,100,18025
3be634553519fb6536a03e1358e9fdc7,99,8275
d12c926d74ceff0a90a21184466ce161,99,2634
dbd66278cbfe1aa1000f90a217ca4695,99,5588
f84a00e60c73a49e7e851c9bdca3a5bb,99,20756
0509040ea3fe50071181bbc359eb7738,98,31710
1d8dbc4f32378d715c717c1c1fc57bae,98,86706
70c27847eca8195c983ed7e798c56743,98,20930
7b07b3c7487f0ea825fc6df75abd658b,98,2016
891071be6ba827b591264c90c2ae8a63,98,3872
9616352088dcf83a7c06637f4ebf1c80,98,87504
f27e33c6d29b5138fa9967bcd445b6d5,98,4273
08633c14ef2db992c11f840f04fad4cd,97,9416
3db66a856d18a9cba7c9241fc5221c50,97,35430
9674754b5a0cb32b638cec001178f799,97,4438
2ff97219cb8622eaf3cd89b7d9c09824,96,13320
ff063b022a9a0aab91bad2c9088760b7,96,9171
06e5eefc71ec47ae763c5c6f8db7064f,95,91350
440dd6ab244315c632130ecfb63827b1,95,15502
5d0363b33554b373851fc1622e4d5f3c,95,12952
8bb48dc19fccaa8613b6229bf7f452a2,95,19803
b561927807645834b59ef0d16ba55a24,95,2955
dee656f0f566ed1aa85bd137c943f08f,95,12701
04308b1ee57b6625f47df1d56f00eedf,94,88215
7e3f87d16fb353f408d467e74fbd8014,94,4809
725c32fa80c2faacc4fc88450d27314e,93,3320
527801b552d0077ffd170872eb49683b,92,17400
aba1721a889e04decc910aa13b768ef4,92,5729
adbc26658d6c7b4b6219f9d934598091,92,81770
e8b3a3a38279a82f0e5d006d5e5b7d2c,92,87230
f3b80352b986ab4d1057a4b724be19d0,92,71200
48162d548f5b1b11b9d29d1e01f75a61,91,13403
7d456afc660226829370f3173d14520c,91,8820
f46490624488d3ff7ce78613913a7711,91,7194
0432ead42b6c8a0bdf68154add917fdf,90,9320
bd0389da23d89b726abf911cccc54596,90,71691
bd23da7354813347129d751591d1a6e2,90,3971
0df3984f9dfb3d49ac6366acbd3bbb85,89,32604
4e7c18b98d84e05cbae3ff0ff03846c2,89,14882
6b243f80ed07b10f0e8aa0f21a205f3c,89,81825
900ba814c251a692506d7834c1218441,88,13328
972d0f9cf61b499a4812cf0bfa3ad3c4,88,88359
ebd2d60905fb58271facef5596b620d3,88,18683
30a2f535bb48308f991d0b9ad4a8c4bb,87,13457
670c26e0f1bf8d0576271d5cfaec6d2b,87,87025
712e6ed8aa4aa1fa65dab41fed5737e4,87,89560
54965bbe3e4f07ae045b90b0b8541f52,86,85851
a7f13822ceb966b076af67121f87b063,86,8577
ba143b05f0110f0dc71ad71b4466ce92,86,2274
dfa0c4c6229ab200a4a1336b4d7128ff,86,88085
f0b47fbbc6dee9aafe415a6e33051b3f,86,9360
1336efc61c316ddf92c899eb817f7cae,85,19800
1bb2bdb95f4841f1bba2c0d2cd83d3c9,85,1257
bbad7e518d7af88a0897397ffdca1979,85,1512
c8b0e2b0a7095e5d8219575d5e7e1181,85,8598
516e7738bd8f735ac19a010ee5450d8d,84,22230
6860153b69cc696d5dcfe1cdaaafcf62,84,13360
6fd52c528dcb38be2eea044946b811f8,84,8180
744dac408745240a2c2528fb1b6028f3,84,83408
ce7d1888639e6fb06b2749cbfdac1ff7,84,37443
d673a59aac7a70d8b01e6902bf090a11,84,14940
e59aa562b9f8076dd550fcddf0e73491,84,82810
eeb6de78f79159600292e314a77cbd18,84,88501
f3da5b2ff499efb8d4a6d371d175d7dd,84,2407
080199a181c46c657dc5aa235411be3b,83,6097
8f119a0aee85c0c8fc534629734e94fd,83,6440
cac4c8e7b1ca6252d8f20b2fc1a2e4af,83,13347
2a261b5b644fa05f4f2700eb93544f2c,82,13660
8cbac7e12637ed9cffa18c7875207478,82,89254
9de4643a8dbde634fe55621059d92273,81,89225
d05ae8f7a5bd1d2a690a44cd079e4e27,81,22775
23613d49c3ac2bd302259e55c06c050c,80,13660
709e16e2b25c7474d980076c6bfc4806,80,16200
82e0a475a88cc9595229d8029273f045,80,3417
a17f621c590ea0fab3d5d883e1630ec6,80,18055
b6d44737c043328708f6749c2dbe50bd,80,9230
1f9ab4708f3056ede07124aad39a2554,79,17602
9d5a9018aee56acb367ba9c3f05d1d6a,79,74930
0b35c634521043bf4b47e21547b99ab5,78,84530
34056b8b55c1775a22af2331670a799c,78,16304
4a3ccda38b2129705f3fb522db62ca31,78,17504
5058e8c1e82653974541e83690655b4a,78,8583
5f1dc28029d2c244352a68107ec2b542,78,5126
9646c3513289980f17226a2fc4720dbd,78,12215
9e6229250fedbe05838fef417b74e7fb,78,16800
f7720c4fa8e3aba4546301ab80ea1f1b,78,81350
7681ef142fd2c19048da7430856b5588,77,7074
d921b68bf747894be13a97ae52b0f386,77,35570
94144541854e298c2d976cb893b81343,76,94451
fd386aa7bed2af3c7035c65506c9b4a3,76,4208
1eade46fba20122dc4aefb379f8c636b,75,2066
6039e27294dc75811c0d8a39069f52c0,75,6162
966cb4760537b1404caedd472cc610a5,75,9920
066a6914e1ebf3ea95a216c73a986b91,74,85863
4992e76a42cb3aad7a7047e0d3d7e729,74,3334
4e17c65a516f69d023a2ae78b84f28d6,74,8673
5f2684dab12e59f83bef73ae57724e45,74,5125
e333046ce6517bd8bb510291d44f0130,74,18950
f7ccf836d21b2fb1de37564105216cc1,74,14940
0c7533c71df861ec58ad7ff999ed0e8d,73,13270
116ccb1a1604bc88e4d234a8c23f33de,73,9850
520b493b57809f446cb0a233bb3e25c7,73,11075
81a1104df0f08b59c68aa5b03cfe398e,73,83020
91f848e9f4be368f4318775aac733370,73,3029
d566c37fa119d5e66c4e9052e83ee4ea,73,4131
fcb5ace8bcc92f75707dc0f01a27d269,73,7032
06579cb253ecd5a3a12a9e6eb6bf8f47,72,4007
6fc26fe110feebd80a433e1f012a84f9,72,15601
75d34ebb1bd0bd7dde40dd507b8169c3,72,41820
7a241947449cc45dbfda4f9d0798d9d0,72,37590
582d4f8675b945722eda7c0cb61ba4c7,71,11250
751bdc4d83a466c7206cd42e8f426b03,71,9405
951e8cef368f09bb3f3d03c00ca4702c,71,14940
e62b2d6ac10570a035a30bafcf01d263,71,5767
99eaacc9e6046db1c82b163c5f84869f,70,14400
b92e3c8f9738272ff7c59e111e108d7c,70,36502
d50d79cb34e38265a8649c383dcffd48,70,8290
76d64c4aca3a7baf218bf93ef7fa768d,69,80215
a420f60ff1aa9acc80d0e42959f2b313,69,5138
b372ee768ed69e46ca8cdbd267aa7a38,69,15013
cb8bcce248bb1fb274ba762d8b971456,69,37540
d13e50eaa47b4cbe9eb81465865d8cfc,69,9210
50c9975695009e5e6473912e83a6d1da,68,35530
643214e62b870443ccbe55ab29a4dccf,68,2134
beadbee30901a7f61d031b6b686095ad,68,7097
01cf7e3d21494c41fb86034f2e714fa1,67,85603
1838dd9b8977065acf51d95e0053ea7a,67,30882
4c18691b6037662be2df78a765d98ab5,67,3167
95f83f51203c626648c875dd41874c7f,67,37564
99a54764c341d5dc80b4a8fac4eba3fb,67,3273
aced59e9b31ef866a94f9e7f29d8d418,67,3306
056b4ada5bbc2c50cc7842547dda6b51,66,26379
05d2173d43ea568aa0540eba70d2ca76,66,37135
6d803cb79cc31c41c4c789a75933b3c7,66,14600
834f3294fba9f932f56edc879193f925,66,14808
8e8a7ce9f2f970dc00e2acf6f6e199f6,66,24710
cce6ab8d1682639fe45ab70234f1665f,66,81020
ce248b21cb2adc36282ede306b7660e5,66,89251
57e632711dec9ec14ca7546769483e7e,65,88372
8ae520247981aa06bc94abddf5f46d34,65,88370
058fd0aa2bfdb2274e05e1ae971dabb6,64,9020
165fc07beebdcb6190fba8a06db2a449,64,87015
3078096983cf766a32a06257648502d1,64,13720
715bbd5ba4e6b74cb0d2f29eb45058b0,64,13930
96493fab2fbb13a14d0c0e8772eef5c3,64,5537
05f51e13da97139648b8125c31e5f51b,63,31910
5b925e1d006e9476d738aa200751b73b,63,4567
cc63f0dd2acba93ffed4fe9f8e0321fa,63,15025
d57e18d5f73c7ccb7f7339b61166898d,63,3613
e7d5b006eb624f13074497221eb37807,63,9291
05ff92fedb5be47920fea08e501238b9,62,98803
0bf0150d5b9d60d9cd2906003332f085,62,1547
318f287a62ab7ac10b703ac37435a231,62,4773
8a130737016f838139d31878787a39c9,62,3187
17f51e7198701186712e53a39c564617,61,3908
1b8356dabde1d35e17cef975c3f82730,61,3477
3bdff180c7e1f6551a643b99c265a120,61,4811
45d33f715e24d15a6ccf5c17b3a23e3c,61,18015
729b2d09b2a0bdab221076327f13d050,61,17320
870d0118f7a9d85960f29ad89d5d989a,61,37708
d9bd94811c3338dceb4181f3dbc0c73e,61,4186
e067ad2c1c0b48758eb1b5228bcf7a68,61,11045
fdb9095204a334cd8872252ffec6f2db,61,3331
fffd5413c0700ac820c7069d66d98c89,61,13908
062ce95fa2ad4dfaedfc79260130565f,60,95913
2a5b78b41cd05baeac8df54c6606b92c,60,35570
903037660cf848a717166eb7a06d616e,60,5734
d650b663c3b5f6fb392b6326366efa9a,60,6713
fa1a9dec3a9940c072684a46728bf1fc,60,88820
c6bda72e4dbf5c5866b13cb1810c6d03,59,3087
d9a84e1403de8da0c3aa531d6d108ba6,59,3562
f214d28e8d8e3ef068748498ccc2f813,59,3872
0d85bbda9889ce1f7e63778d24f346eb,58,38414
138dbe45fc62f1e244378131a6801526,58,2215
376a891762bbdecbc02b4b6adec3fdda,58,74323
c864036feaab8c1659f65ea4faebe1da,58,83605
dc317f341ab0e22f39acbd9dbf9b4a1f,58,94910
e882b2a25a10b9c057cc49695f222c19,58,25963
432c37c9dfba871172ec162e20118b8c,57,70235
602044f2c16190c2c6e45eb35c2e21cb,57,14940
750303a20e9c56b2a6bc45cdce0b897d,57,74333
994f04b3718c2bab35c2adfa8afecd2a,57,13912
b17b679f4f5ce2e03ce6968c62648246,57,14090
09f952a5f58d2285b0372551ae8f9b01,56,9725
56642bcb79900e777d68e91915cb4267,56,3701
6c177e38df6d3f34182b1f1d427231bf,56,80430
6df688df543f90e9b38f4319e75a9d88,56,31230
e24fc9fcd865784fb25705606fe3dfe7,56,12913
eed78ac17f7f795a19a709745f00cd4e,56,18608
002100f778ceb8431b7a1020ff7ab48f,55,14405
0ef83d7d83ed97cd2a0049ac8be5f88a,55,80230
23d7c96d4a1160db1c726b248601b25a,55,13360
2a1348e9addc1af5aaa619b1a3679d6b,55,30494
2dee2ce60de9709b1a24083217181a1f,55,78552
624f4ece8da4aafb77699233d480f8ef,55,5138
7202e2ba20579a9bd1acb29e61fe71f6,55,14401
83e197e95a1bbabc8c75e883ed016c47,55,25900
a5cba26a62b8b4d0145b68b841e62e7f,55,87303
a888faf2d1baececa6baf9c3d603ee1f,55,87502
20d83f3ef0e6925fd74bfd59170babf7,54,2804
2a7dc43cecabf23403078e2188437d1d,54,4142
2b3e4a2a3ea8e01938cabda2a3e5cc79,54,4733
4da0e408c99d2fdc2126dc9fce518060,54,86300
b18dc380845b24038cfc48006478f099,54,9951
b1a81260566c1bac3114a6d124413f27,54,99500
f680f85bee2d253556ac91be391d2c82,54,6365
0691148aee60ca47977c187804f935ae,53,86010
3504c0cb71d7fa48d967e0e4c94d59d9,53,9350
3bb548e3cb7f70f28e3f11ee9dce0e59,53,87040
6f892e20a171e98efe17fdb971ff319b,53,8270
8b9d6eec4a7eb7d0f9d579ce0b38324d,53,26562
cd06602b43d8800bd0afad514919d35c,53,4119
81f89e42267213cb94da7ddc301651da,52,19063
a6fe7de3d16f6149ffe280349a8535a0,52,14401
abcd2cb37d46c2c8fb1bf071c859fc5b,52,78020
c9aafcd0621b2207c10e32c649cada4d,52,8011
cb3dd9ce66268c7a3ca7241ac70ab58c,52,3028
ea566164622c6b439516ab18062c42cd,52,5303
048c2757535328e0d7dac690ad3c0aae,51,14406
20cb7c2fde3e5bf10f0bbe7394e1c6a9,51,86385
9b00ed88b7fdb95d6ff76e27c1b52d16,51,8215
dc8798cbf453b7e0f98745e396cc5616,51,5455
e0a366315b1b726b6c7832d664c0f530,51,2258
efcd8d2104f1a05d028af7bad20d974b,51,16012
25cf099de44674fde97473224f9d59ab,50,6716
7dc8c42cc750eeafea6c85712ffee9bf,50,5424
835f0f7810c76831d6c7d24c7a646d4d,50,8030
aae3bfea055532c57fb453ed3ec80b30,50,9271
abe42c5d03695b4257b5c6cbf4e6784e,50,21235
ede0c03645598cdfc63ca8237acbe73d,50,14092
1da366cade6d8276e7d8beea7af5d4bf,49,36500
382229d1e840115ffe3dbf5ff460e417,49,23092
b39d7fe263ef469605dbb32608aee0af,49,14940
f789d2c4f2c2eb38fc4373e7a4b35264,49,36010
ff1fb4c404b2efe68b03350a8dc24122,49,8710
113e3a788b935f48aad63e1c41dac1bd,48,12570
3d8fa2f5b647373c8620330c4e077a9f,48,3031
4c03b9dd4c11ee2cb35c96c49efc9420,48,13232
4c498c7345e89aebad651544829beca0,48,6341
c68fb906c8f4b4b946d8386bfa6e5467,48,14870
db2956745b3a8e9f3785c99f34b5d25e,48,11600
e8f6dc8e6a1dcde89d20e3995c8d90b3,48,3476
2709af9587499e95e803a6498a5a56e9,47,3813
276677b5d08786d5dce7c2149dcce48b,47,31730
33a17d60c64393351ebf1ef860f4e0f2,47,91510
406822777a0b9eb5c50e442dd4cd3ec5,47,18500
6b90f847357d8981edd79a1eb1bf0acb,47,7152
834f8533b2ecb6598dd004ff3de7203a,47,5181
b8bc237ba3788b23da09c0f1f3a3288c,47,88303
d66c305afaec317ebee552073a674429,47,33936
23c38debaffe4a25a30fdbd9b586a13f,46,18110
325f3178fb58e2a9778334621eecdbf9,46,6790
381c83fdca332ea6afd896da20bf6e4a,46,80010
4e06067cc08b3f41d837768d392c3ee3,46,32604
5f3ae9136c875522250f8184f253413a,46,1550
a2e874074c877c5a05abae80ad6e488f,46,15070
ad420dd0c4f92f8af951ac24b86d0cf5,46,38230
afe0067131b73e40875c9b6c10bd2e21,46,35590
b32be1695eb7ec5f10f72d9610a12527,46,95012
bccf933e006e9b94a6184af782963e77,46,19806
2d50d6282f8aa2257819a77bfaa0efe0,45,14940
58f1a6197ed863543e0136bdedb3fce2,45,36407
718539d38d07dd351c76db862760e2e2,45,13088
817245bcc3badd82bbd222e0366951a6,45,17056
8b2492b7ff4468839593fafeed55bad9,45,24451
9add47bf45ce8e8c7db6b9cf670b1e09,45,83830
c013e57c075a06e5b5c48ee03c525719,45,13568
c66dccfb3f109511246da627dd5a2498,45,11900
dd533b429f380718b70ad9922c294bae,45,14781
02f623a8eb246f3c5f7c2f96462654e6,44,18611
1ce3ae5a399804d1a87e706f8a813c3e,44,88715
2089a6d640999f9b9141ac719b2af596,44,13566
5a93f3ab0ef4c84ed5e1b5dbf23978bc,44,12250
6338ea67c41078a46ad99cc009654956,44,95170
acce39e832338debb07b02385cde5967,44,32110
ad781527c93d00d89a11eecd9dcad7c1,44,15015
b410bdd36d5db7a65dcd42b7ead933b8,44,74645
